Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Balance,1787300000.100000,3100,1,0
4,SendPayment,1787300000.110000,4200,2,0
3,DepositChecking,1787300000.120000,4700,3,0
1,Amalgamate,1787300000.130000,4900,4,0
5,TransactSavings,1787300000.140000,5200,5,0
6,WriteCheck,1787300000.150000,5700,6,0
2,Balance,1787300000.160000,6100,7,0
4,SendPayment,1787300000.170000,6500,8,0
3,DepositChecking,1787300000.180000,6700,9,0
1,Amalgamate,1787300000.190000,6900,10,0
5,TransactSavings,1787300000.200000,7200,11,0
6,WriteCheck,1787300000.210000,7600,12,0
2,Balance,1787300000.220000,8100,13,0
4,SendPayment,1787300000.230000,8900,14,0
3,DepositChecking,1787300000.240000,9400,15,0
1,Amalgamate,1787300000.250000,10600,16,0
5,TransactSavings,1787300000.260000,11600,17,0
6,WriteCheck,1787300000.270000,14200,18,0
4,SendPayment,1787300000.280000,22800,19,0
6,WriteCheck,1787300000.290000,41600,20,0
