"地域","系统","实例规格","按量目录价","包月目录价","按量折扣价","包月折扣价","1年付总价","包周价格","按量月价(30天)","3年付总价","5年付总价","架构","处理器","vCPUs","内存(GiB)","处理器主频/睿频","内网收发包","内网带宽","GPU/FPGA"
"华南 2 (河源)","windows","ecs.c9i.large","0.3486","167.32","0.3486","167.32","1405.48","46.85","250.99","2770.8","3212.52","x86","Intel(R) Xeon(R) 6982P-C",2,4,3.6,1000000,2560000,""
"华南 2 (河源)","windows","ecs.c9ae.large","0.3833","184.01","0.3833","184.01","1545.64","51.52","275.98","3047.12","3532.9","x86","AMD EPYC 9T95 192-Core",2,4,3.7,1500000,2560000,""
"华南 2 (河源)","windows","ecs.g9ae.large","0.5053","242.54","0.5053","242.54","2037.34","67.91","363.82","4016.46","4656.77","x86","AMD EPYC 9T95 192-Core",2,8,3.7,1500000,2560000,""
"华南 2 (河源)","windows","ecs.g9i.large","0.4474","214.74","0.4474","214.74","1803.82","60.13","322.13","3556.09","4123.01","x86","Intel(R) Xeon(R) 6982P-C",2,8,3.6,1000000,2560000,""
"华南 2 (河源)","windows","ecs.r9i.large","0.5953","285.73","0.5953","285.73","2400.15","80.0","428.62","4731.72","5486.05","x86","Intel(R) Xeon(R) 6982P-C",2,16,3.6,1000000,2560000,""
"华南 2 (河源)","windows","ecs.r9ae.large","0.7601","364.87","0.7601","364.87","3064.89","102.16","547.27","6042.2","7005.45","x86","AMD EPYC 9T95 192-Core",2,16,3.7,1500000,2560000,""
"华南 2 (河源)","windows","ecs.c9ae.xlarge","0.7667","368.01","0.7667","368.01","3091.28","103.04","552.02","6094.25","7065.79","x86","AMD EPYC 9T95 192-Core",4,8,3.7,1600000,4096000,""
"华南 2 (河源)","windows","ecs.c9i.xlarge","0.6972","334.64","0.6972","334.64","2810.96","93.7","501.98","5541.61","6425.05","x86","Intel(R) Xeon(R) 6982P-C",4,8,3.6,1200000,4096000,""
"华南 2 (河源)","windows","ecs.g9ae.xlarge","1.0106","485.08","1.0106","485.08","4074.67","135.82","727.63","8032.93","9313.54","x86","AMD EPYC 9T95 192-Core",4,16,3.7,1600000,4096000,""
"华南 2 (河源)","windows","ecs.g9i.xlarge","0.8947","429.48","0.8947","429.48","3607.63","120.25","644.18","7112.19","8246.02","x86","Intel(R) Xeon(R) 6982P-C",4,16,3.6,1200000,4096000,""
"华南 2 (河源)","windows","ecs.r9ae.xlarge","1.5203","729.73","1.5203","729.73","6129.77","204.33","1094.62","12084.4","14010.9","x86","AMD EPYC 9T95 192-Core",4,32,3.7,1600000,4096000,""
"华南 2 (河源)","windows","ecs.r9i.xlarge","1.1905","571.46","1.1905","571.46","4800.22","160.01","857.16","9463.29","10971.94","x86","Intel(R) Xeon(R) 6982P-C",4,32,3.6,1200000,4096000,""
"华南 2 (河源)","windows","ecs.c9ae.2xlarge","1.5334","736.02","1.5334","736.02","6182.57","206.09","1104.05","12188.49","14131.58","x86","AMD EPYC 9T95 192-Core",8,16,3.7,2500000,6144000,""
"华南 2 (河源)","windows","ecs.c9i.2xlarge","1.3943","669.28","1.3943","669.28","5621.92","187.4","1003.90","11083.21","12850.1","x86","Intel(R) Xeon(R) 6982P-C",8,16,3.6,1600000,6144000,""
"华南 2 (河源)","windows","ecs.g9ae.2xlarge","2.0212","970.16","2.0212","970.16","8149.34","271.64","1455.26","16065.85","18627.08","x86","AMD EPYC 9T95 192-Core",8,32,3.7,2500000,6144000,""
"华南 2 (河源)","windows","ecs.g9i.2xlarge","1.7895","858.97","1.7895","858.97","7215.34","240.51","1288.44","14224.52","16492.2","x86","Intel(R) Xeon(R) 6982P-C",8,32,3.6,1600000,6144000,""
"华南 2 (河源)","windows","ecs.r9i.2xlarge","2.3811","1142.92","2.3811","1142.92","9600.52","320.02","1714.39","18926.74","21944.04","x86","Intel(R) Xeon(R) 6982P-C",8,64,3.6,1600000,6144000,""
"华南 2 (河源)","windows","ecs.r9ae.2xlarge","3.0406","1459.47","3.0406","1459.47","12259.54","408.65","2189.23","24168.8","28021.8","x86","AMD EPYC 9T95 192-Core",8,64,3.7,2500000,6144000,""
"华南 2 (河源)","windows","ecs.c9i.3xlarge","2.0915","1003.91","2.0915","1003.91","8432.88","281.1","1505.88","16624.81","19275.15","x86","Intel(R) Xeon(R) 6982P-C",12,24,3.6,2400000,10240000,""
"华南 2 (河源)","windows","ecs.g9i.3xlarge","2.6843","1288.45","2.6843","1288.45","10822.97","360.77","1932.70","21336.71","24738.22","x86","Intel(R) Xeon(R) 6982P-C",12,48,3.6,2400000,10240000,""
"华南 2 (河源)","windows","ecs.r9i.3xlarge","3.5716","1714.37","3.5716","1714.37","14400.74","480.02","2571.55","28390.03","32915.98","x86","Intel(R) Xeon(R) 6982P-C",12,96,3.6,2400000,10240000,""
"华南 2 (河源)","windows","ecs.c9ae.4xlarge","3.0667","1472.04","3.0667","1472.04","12365.14","412.17","2208.02","24376.98","28263.17","x86","AMD EPYC 9T95 192-Core",16,32,3.7,3200000,10240000,""
"华南 2 (河源)","windows","ecs.c9i.4xlarge","2.7887","1338.56","2.7887","1338.56","11243.91","374.8","2007.86","22166.57","25700.37","x86","Intel(R) Xeon(R) 6982P-C",16,32,3.6,3000000,12288000,""
"华南 2 (河源)","windows","ecs.g9i.4xlarge","3.579","1717.94","3.579","1717.94","14430.68","481.02","2576.88","28449.05","32984.41","x86","Intel(R) Xeon(R) 6982P-C",16,64,3.6,3000000,12288000,""
"华南 2 (河源)","windows","ecs.g9ae.4xlarge","4.0423","1940.32","4.0423","1940.32","16298.69","543.29","2910.46","32131.71","37254.16","x86","AMD EPYC 9T95 192-Core",16,64,3.7,3200000,10240000,""
"华南 2 (河源)","windows","ecs.r9i.4xlarge","4.7622","2285.84","4.7622","2285.84","19201.04","640.03","3428.78","37853.48","43888.09","x86","Intel(R) Xeon(R) 6982P-C",16,128,3.6,3000000,12288000,""
"华南 2 (河源)","windows","ecs.r9ae.4xlarge","6.0811","2918.94","6.0811","2918.94","24519.07","817.3","4378.39","48337.6","56043.6","x86","AMD EPYC 9T95 192-Core",16,128,3.7,3200000,10240000,""
"华南 2 (河源)","windows","ecs.c9i.6xlarge","4.183","2007.84","4.183","2007.84","16865.83","562.19","3011.76","33249.78","38550.47","x86","Intel(R) Xeon(R) 6982P-C",24,48,3.6,4500000,15360000,""
"华南 2 (河源)","windows","ecs.g9i.6xlarge","5.3685","2576.9","5.3685","2576.9","21645.95","721.53","3865.32","42673.43","49476.44","x86","Intel(R) Xeon(R) 6982P-C",24,96,3.6,4500000,15360000,""
"华南 2 (河源)","windows","ecs.r9i.6xlarge","7.1432","3428.75","7.1432","3428.75","28801.49","960.05","5143.10","56780.07","65831.96","x86","Intel(R) Xeon(R) 6982P-C",24,192,3.6,4500000,15360000,""
"华南 2 (河源)","windows","ecs.c9i.8xlarge","5.5773","2677.11","5.5773","2677.11","22487.75","749.59","4015.66","44332.99","51400.57","x86","Intel(R) Xeon(R) 6982P-C",32,64,3.6,6000000,20480000,""
"华南 2 (河源)","windows","ecs.c9ae.8xlarge","6.1335","2944.08","6.1335","2944.08","24730.27","824.34","4416.12","48753.96","56526.34","x86","AMD EPYC 9T95 192-Core",32,64,3.7,5000000,16384000,""
"华南 2 (河源)","windows","ecs.g9ae.8xlarge","8.0847","3880.64","8.0847","3880.64","32597.39","1086.58","5820.98","64263.43","74508.32","x86","AMD EPYC 9T95 192-Core",32,128,3.7,5000000,16384000,""
"华南 2 (河源)","windows","ecs.g9i.8xlarge","7.1581","3435.87","7.1581","3435.87","28861.28","962.04","5153.83","56897.96","65968.65","x86","Intel(R) Xeon(R) 6982P-C",32,128,3.6,6000000,20480000,""
"华南 2 (河源)","windows","ecs.r9ae.8xlarge","12.1622","5837.88","12.1622","5837.88","49038.15","1634.61","8756.78","96675.21","112087.2","x86","AMD EPYC 9T95 192-Core",32,256,3.7,5000000,16384000,""
"华南 2 (河源)","windows","ecs.r9i.8xlarge","9.5243","4571.67","9.5243","4571.67","38402.0","1280.07","6857.50","75706.8","87776.01","x86","Intel(R) Xeon(R) 6982P-C",32,256,3.6,6000000,20480000,""
"华南 2 (河源)","windows","ecs.c9i.12xlarge","8.366","4015.67","8.366","4015.67","33731.66","1124.39","6023.52","66499.56","77100.94","x86","Intel(R) Xeon(R) 6982P-C",48,96,3.6,9000000,25600000,""
"华南 2 (河源)","windows","ecs.c9ae.12xlarge","9.2002","4416.12","9.2002","4416.12","37095.41","1236.51","6624.14","73130.95","84789.5","x86","AMD EPYC 9T95 192-Core",48,96,3.7,7500000,25600000,""
"华南 2 (河源)","windows","ecs.g9ae.12xlarge","12.127","5820.96","12.127","5820.96","48896.08","1629.87","8731.44","96395.14","111762.48","x86","AMD EPYC 9T95 192-Core",48,192,3.7,7500000,25600000,""
"华南 2 (河源)","windows","ecs.g9i.12xlarge","10.7371","5153.81","10.7371","5153.81","43291.96","1443.07","7730.71","85347.01","98953.06","x86","Intel(R) Xeon(R) 6982P-C",48,192,3.6,9000000,25600000,""
"华南 2 (河源)","windows","ecs.r9ae.12xlarge","18.2434","8756.81","18.2434","8756.81","73557.22","2451.91","13135.25","145012.82","168130.81","x86","AMD EPYC 9T95 192-Core",48,384,3.7,7500000,25600000,""
"华南 2 (河源)","windows","ecs.r9i.12xlarge","14.2865","6857.51","14.2865","6857.51","57603.04","1920.1","10286.28","113560.28","131664.1","x86","Intel(R) Xeon(R) 6982P-C",48,384,3.6,9000000,25600000,""
"华南 2 (河源)","windows","ecs.c9ae.16xlarge","12.267","5888.16","12.267","5888.16","49460.54","1648.68","8832.24","97507.93","113052.67","x86","AMD EPYC 9T95 192-Core",64,128,3.7,10000000,32768000,""
"华南 2 (河源)","windows","ecs.c9i.16xlarge","11.1546","5354.23","11.1546","5354.23","44975.5","1499.18","8031.31","88665.98","102801.14","x86","Intel(R) Xeon(R) 6982P-C",64,128,3.6,12000000,28672000,""
"华南 2 (河源)","windows","ecs.g9i.16xlarge","14.3161","6871.73","14.3161","6871.73","57722.57","1924.09","10307.59","113795.91","131937.29","x86","Intel(R) Xeon(R) 6982P-C",64,256,3.6,12000000,28672000,""
"华南 2 (河源)","windows","ecs.g9ae.16xlarge","16.1693","7761.28","16.1693","7761.28","65194.78","2173.16","11641.90","128526.85","149016.64","x86","AMD EPYC 9T95 192-Core",64,256,3.7,10000000,32768000,""
"华南 2 (河源)","windows","ecs.r9i.16xlarge","19.0486","9143.33","19.0486","9143.33","76804.01","2560.13","13714.99","151413.61","175552.01","x86","Intel(R) Xeon(R) 6982P-C",64,512,3.6,12000000,28672000,""
